run_name,agent,model,backend,task,trial,reward,passed,weighted_gen_tok_s,model_baseline,valid,reason
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,local,git-leak-recovery,git-leak-recovery__6EdnFYv,0.0,0,,45.78,1,valid
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,local,headless-terminal,headless-terminal__4852rzC,0.0,0,46.13,45.78,1,valid
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,local,build-pov-ray,build-pov-ray__tPnUx8H,0.0,0,34.32,45.78,1,valid
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,local,code-from-image,code-from-image__VkEJ6bf,0.0,0,,45.78,1,valid
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,local,cobol-modernization,cobol-modernization__ZcGRNc3,0.0,0,45.78,45.78,1,valid
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,local,winning-avg-corewars,winning-avg-corewars__g9kvJXd,0.0,0,33.23,45.78,1,valid
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,local,git-leak-recovery,git-leak-recovery__LY9yjfP,0.0,0,,18.26,1,valid
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,local,build-pov-ray,build-pov-ray__DvF5UpA,0.0,0,,18.26,1,valid
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,local,fix-git,fix-git__bh5fH7R,0.0,0,,18.26,1,valid
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,local,schemelike-metacircular-eval,schemelike-metacircular-eval__bzYijMb,0.0,0,,18.26,1,valid
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,local,prove-plus-comm,prove-plus-comm__3oLgzV6,0.0,0,,18.26,1,valid
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,local,kv-store-grpc,kv-store-grpc__KKMUgRM,0.0,0,,18.26,1,valid
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,local,build-pmars,build-pmars__CSDCro7,0.0,0,,18.26,1,valid
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,local,polyglot-c-py,polyglot-c-py__EKfHJFH,,0,,18.26,0,ungraded
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,local,winning-avg-corewars,winning-avg-corewars__HMaptHD,0.0,0,,18.26,1,valid
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,local,pypi-server,pypi-server__PvjKEdA,0.0,0,,18.26,1,valid
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,local,headless-terminal,headless-terminal__dRQrcEB,0.0,0,,18.26,1,valid
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,local,code-from-image,code-from-image__viNcrbH,0.0,0,,18.26,1,valid
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,local,cobol-modernization,cobol-modernization__mtduU7e,0.0,0,,18.26,1,valid
terminus-2-phi4-14b,terminus-2,phi-4,local,prove-plus-comm,prove-plus-comm__yjVquTM,,0,17.6,15.94,0,ungraded
terminus-2-phi4-14b,terminus-2,phi-4,local,code-from-image,code-from-image__v82GsYv,,0,16.94,15.94,0,ungraded
terminus-2-phi4-14b,terminus-2,phi-4,local,winning-avg-corewars,winning-avg-corewars__tMvrhKY,,0,19.58,15.94,0,ungraded
terminus-2-phi4-14b,terminus-2,phi-4,local,build-pov-ray,build-pov-ray__THxkdNt,,0,16.34,15.94,0,ungraded
terminus-2-phi4-14b,terminus-2,phi-4,local,polyglot-c-py,polyglot-c-py__RsUqRoR,0.0,0,20.04,15.94,1,valid
terminus-2-phi4-14b,terminus-2,phi-4,local,fix-git,fix-git__yQqiggR,0.0,0,19.06,15.94,1,valid
terminus-2-phi4-14b,terminus-2,phi-4,local,pypi-server,pypi-server__cS2eoA8,0.0,0,19.65,15.94,1,valid
terminus-2-phi4-14b,terminus-2,phi-4,local,kv-store-grpc,kv-store-grpc__7SU2jaR,0.0,0,19.99,15.94,1,valid
terminus-2-phi4-14b,terminus-2,phi-4,local,headless-terminal,headless-terminal__ZinHjQw,,0,15.51,15.94,0,ungraded
terminus-2-phi4-14b,terminus-2,phi-4,local,build-pmars,build-pmars__3H4nVhD,,0,16.05,15.94,0,ungraded
terminus-2-phi4-14b,terminus-2,phi-4,local,schemelike-metacircular-eval,schemelike-metacircular-eval__osesn5n,,0,17.56,15.94,0,ungraded
terminus-2-phi4-14b,terminus-2,phi-4,local,cobol-modernization,cobol-modernization__RG9arpE,0.0,0,15.0,15.94,1,valid
terminus-2-phi4-14b,terminus-2,phi-4,local,git-leak-recovery,git-leak-recovery__PTxkPyD,1.0,1,17.4,15.94,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,legal-summary-extraction,legal-summary-extraction__8hBMAWp,0.0,0,64.19,64.17,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,jsonl-aggregator,jsonl-aggregator__C7L3nBc,0.0,0,64.12,64.17,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,jq-data-processing,jq-data-processing__HXUGGtQ,0.0,0,64.0,64.17,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,cobol-modernization,cobol-modernization__J46vhec,0.0,0,63.38,64.17,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,kv-store-grpc,kv-store-grpc__sWfTURN,1.0,1,64.49,64.17,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,image-tile-identification,image-tile-identification__K3U6iqs,0.0,0,63.55,64.17,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,amuse-install,amuse-install__8zUUS5d,1.0,1,63.92,64.17,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,schemelike-metacircular-eval,schemelike-metacircular-eval__sCsepXa,0.0,0,63.21,64.17,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,raft-log-repair-concurrent-access,raft-log-repair-concurrent-acces__GPLZ458,0.0,0,63.21,64.17,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,smiles-data-lab,smiles-data-lab__uxhwAKT,,0,,64.17,0,ungraded
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,california-housing-api,california-housing-api__vdbKvQC,0.0,0,63.16,64.17,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,convolutional-layers,convolutional-layers__x2pJR2W,0.0,0,63.92,64.17,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,cosign-keyless-signing,cosign-keyless-signing__wk465Kd,0.0,0,62.42,64.17,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,protein-sequence,protein-sequence__MXYpY2Y,,0,,64.17,0,ungraded
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,ekf-localization,ekf-localization__hRo5s5a,0.0,0,63.17,64.17,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,cryptographic-protocol-verifier,cryptographic-protocol-verifier__Vt8qzqz,0.0,0,63.76,64.17,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,systemd-log-monitoring,systemd-log-monitoring__rP6hRzW,0.0,0,63.86,64.17,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,vimscript-vim-quine,vimscript-vim-quine__YZyLLFu,0.0,0,63.53,64.17,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,mlflow-register,mlflow-register__PU72vyN,1.0,1,64.35,64.17,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,git-leak-recovery,git-leak-recovery__wkSJEcs,1.0,1,64.3,64.17,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,playing-card-recognition,playing-card-recognition__gfsVaRa,0.0,0,64.14,64.17,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,headless-terminal,headless-terminal__RAGB3Bm,0.0,0,64.07,64.17,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,pandas-etl,pandas-etl__NvtnrUV,1.0,1,64.45,64.17,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,fix-git,fix-git__HwHPnNw,1.0,1,64.23,64.17,1,valid
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,broken-python,broken-python__oSBBQTW,1.0,1,63.58,64.17,1,valid
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,hosted,pypi-server,pypi-server__Mn7rSzw,0.0,0,,,1,valid
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,hosted,kv-store-grpc,kv-store-grpc__i6vt2By,0.0,0,,,1,valid
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,hosted,polyglot-c-py,polyglot-c-py__FdR83zm,0.0,0,,,1,valid
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,hosted,code-from-image,code-from-image__u3viZ8z,0.0,0,,,1,valid
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,hosted,cobol-modernization,cobol-modernization__QAu7j74,0.0,0,,,1,valid
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,hosted,winning-avg-corewars,winning-avg-corewars__cHQtEyb,0.0,0,,,1,valid
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,hosted,fix-git,fix-git__PHVgtxV,0.0,0,,,1,valid
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,hosted,git-leak-recovery,git-leak-recovery__tLGgQLf,0.0,0,,,1,valid
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,hosted,prove-plus-comm,prove-plus-comm__WWT7iAV,0.0,0,,,1,valid
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,hosted,headless-terminal,headless-terminal__SMQQQ6N,0.0,0,,,1,valid
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,hosted,schemelike-metacircular-eval,schemelike-metacircular-eval__zKrvSSx,0.0,0,,,1,valid
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,hosted,build-pov-ray,build-pov-ray__dCkQ383,0.0,0,,,1,valid
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,hosted,build-pmars,build-pmars__TiDLUNv,0.0,0,,,1,valid
terminus-2-glm47-together,terminus-2,GLM-4.7,hosted,cobol-modernization,cobol-modernization__9ciYZQT,1.0,1,,,1,valid
terminus-2-glm47-together,terminus-2,GLM-4.7,hosted,fix-git,fix-git__eoLUYYp,1.0,1,,,1,valid
terminus-2-glm47-together,terminus-2,GLM-4.7,hosted,build-pov-ray,build-pov-ray__HgRwM7M,1.0,1,,,1,valid
terminus-2-glm47-together,terminus-2,GLM-4.7,hosted,prove-plus-comm,prove-plus-comm__jpdJP6i,1.0,1,,,1,valid
terminus-2-glm47-together,terminus-2,GLM-4.7,hosted,kv-store-grpc,kv-store-grpc__MSSpnpR,0.0,0,,,1,valid
terminus-2-glm47-together,terminus-2,GLM-4.7,hosted,pypi-server,pypi-server__Kh8AVj9,1.0,1,,,1,valid
terminus-2-glm47-together,terminus-2,GLM-4.7,hosted,schemelike-metacircular-eval,schemelike-metacircular-eval__3eekSj2,0.0,0,,,1,valid
terminus-2-glm47-together,terminus-2,GLM-4.7,hosted,git-leak-recovery,git-leak-recovery__YPWmF4X,1.0,1,,,1,valid
terminus-2-glm47-together,terminus-2,GLM-4.7,hosted,code-from-image,code-from-image__4PGsvM3,1.0,1,,,1,valid
terminus-2-glm47-together,terminus-2,GLM-4.7,hosted,build-pmars,build-pmars__FJhFPxE,1.0,1,,,1,valid
terminus-2-glm47-together,terminus-2,GLM-4.7,hosted,headless-terminal,headless-terminal__gCrUaG5,1.0,1,,,1,valid
terminus-2-glm47-together,terminus-2,GLM-4.7,hosted,polyglot-c-py,polyglot-c-py__H4uLXTr,0.0,0,,,1,valid
terminus-2-glm47-together,terminus-2,GLM-4.7,hosted,winning-avg-corewars,winning-avg-corewars__RTATTJ8,1.0,1,,,1,valid
openhands-glm47-together-v2,openhands,GLM-4.7,hosted,build-pmars,build-pmars__LyoEdmY,0.0,0,,,1,valid
openhands-glm47-together-v2,openhands,GLM-4.7,hosted,schemelike-metacircular-eval,schemelike-metacircular-eval__Mp7M5zc,0.0,0,,,1,valid
openhands-glm47-together-v2,openhands,GLM-4.7,hosted,build-pov-ray,build-pov-ray__g2tMeWE,0.0,0,,,1,valid
openhands-glm47-together-v2,openhands,GLM-4.7,hosted,kv-store-grpc,kv-store-grpc__BnmwXFu,0.0,0,,,1,valid
openhands-glm47-together-v2,openhands,GLM-4.7,hosted,cobol-modernization,cobol-modernization__KeNEzq5,1.0,1,,,1,valid
openhands-glm47-together-v2,openhands,GLM-4.7,hosted,fix-git,fix-git__pkydiSK,1.0,1,,,1,valid
openhands-glm47-together-v2,openhands,GLM-4.7,hosted,prove-plus-comm,prove-plus-comm__wjskWig,1.0,1,,,1,valid
openhands-glm47-together-v2,openhands,GLM-4.7,hosted,git-leak-recovery,git-leak-recovery__jKxmK2M,1.0,1,,,1,valid
openhands-glm47-together-v2,openhands,GLM-4.7,hosted,polyglot-c-py,polyglot-c-py__bWNKkuq,0.0,0,,,1,valid
openhands-glm47-together-v2,openhands,GLM-4.7,hosted,code-from-image,code-from-image__zRtpJua,0.0,0,,,1,valid
openhands-glm47-together-v2,openhands,GLM-4.7,hosted,headless-terminal,headless-terminal__oTdvkbe,0.0,0,,,1,valid
openhands-glm47-together-v2,openhands,GLM-4.7,hosted,pypi-server,pypi-server__ZQroMrP,0.0,0,,,1,valid
openhands-glm47-together-v2,openhands,GLM-4.7,hosted,winning-avg-corewars,winning-avg-corewars__8Ye7CFN,0.0,0,,,1,valid
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,local,headless-terminal,headless-terminal__rp8omz2,0.0,0,37.88,56.29,1,valid
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,local,polyglot-c-py,polyglot-c-py__raanEcp,0.0,0,54.76,56.29,1,valid
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,local,winning-avg-corewars,winning-avg-corewars__Tm7qBJQ,0.0,0,46.57,56.29,1,valid
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,local,build-pmars,build-pmars__YmB3WPw,1.0,1,41.78,56.29,1,valid
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,local,fix-git,fix-git__xv5zkCm,1.0,1,45.44,56.29,1,valid
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,local,schemelike-metacircular-eval,schemelike-metacircular-eval__yoYNEnc,0.0,0,44.68,56.29,1,valid
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,local,pypi-server,pypi-server__x6CWriz,0.0,0,52.13,56.29,1,valid
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,local,build-pov-ray,build-pov-ray__9FoR7tz,0.0,0,38.27,56.29,1,valid
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,local,kv-store-grpc,kv-store-grpc__j63ThiK,0.0,0,43.38,56.29,1,valid
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,local,git-leak-recovery,git-leak-recovery__3RiETkJ,1.0,1,42.8,56.29,1,valid
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,local,prove-plus-comm,prove-plus-comm__6xm2uqS,0.0,0,53.65,56.29,1,valid
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,local,code-from-image,code-from-image__W2xZjh6,0.0,0,57.49,56.29,1,valid
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,local,cobol-modernization,cobol-modernization__hNxayUi,0.0,0,42.78,56.29,1,valid
test-mini-swe,mini-swe-agent,Qwen3-Coder-30B-A3B-Instruct,local,fix-git,fix-git__sE9xVEw,0.0,0,,56.29,0,test_run
terminus-2-m2.1-fireworks,terminus-2,minimax-m2p1,hosted,schemelike-metacircular-eval,schemelike-metacircular-eval__aMybraD,0.0,0,,,1,valid
terminus-2-m2.1-fireworks,terminus-2,minimax-m2p1,hosted,git-leak-recovery,git-leak-recovery__GpTGrq7,1.0,1,,,1,valid
terminus-2-m2.1-fireworks,terminus-2,minimax-m2p1,hosted,kv-store-grpc,kv-store-grpc__ivzyd9J,1.0,1,,,1,valid
terminus-2-m2.1-fireworks,terminus-2,minimax-m2p1,hosted,build-pmars,build-pmars__aeakpvk,1.0,1,,,1,valid
terminus-2-m2.1-fireworks,terminus-2,minimax-m2p1,hosted,polyglot-c-py,polyglot-c-py__h4MWx3p,0.0,0,,,1,valid
terminus-2-m2.1-fireworks,terminus-2,minimax-m2p1,hosted,pypi-server,pypi-server__zcigpY8,1.0,1,,,1,valid
terminus-2-m2.1-fireworks,terminus-2,minimax-m2p1,hosted,winning-avg-corewars,winning-avg-corewars__wXspKrb,1.0,1,,,1,valid
terminus-2-m2.1-fireworks,terminus-2,minimax-m2p1,hosted,fix-git,fix-git__cJTCGwu,1.0,1,,,1,valid
terminus-2-m2.1-fireworks,terminus-2,minimax-m2p1,hosted,code-from-image,code-from-image__p2tUrfJ,1.0,1,,,1,valid
terminus-2-m2.1-fireworks,terminus-2,minimax-m2p1,hosted,build-pov-ray,build-pov-ray__fhCUgKK,0.0,0,,,1,valid
terminus-2-m2.1-fireworks,terminus-2,minimax-m2p1,hosted,cobol-modernization,cobol-modernization__9hJ4PVU,1.0,1,,,1,valid
terminus-2-m2.1-fireworks,terminus-2,minimax-m2p1,hosted,headless-terminal,headless-terminal__bEps2em,1.0,1,,,1,valid
terminus-2-m2.1-fireworks,terminus-2,minimax-m2p1,hosted,prove-plus-comm,prove-plus-comm__GK89CqE,1.0,1,,,1,valid
swe-agent-qwen3.5-35b-a3b-gguf-local,swe-agent,Qwen3.5-35B-A3B,local,legal-summary-extraction,legal-summary-extraction__qYJAZQo,0.0,0,,53.7,0,agent_integration_failure
swe-agent-qwen3.5-35b-a3b-gguf-local,swe-agent,Qwen3.5-35B-A3B,local,jsonl-aggregator,jsonl-aggregator__KN5EuaB,0.0,0,,53.7,0,agent_integration_failure
swe-agent-qwen3.5-35b-a3b-gguf-local,swe-agent,Qwen3.5-35B-A3B,local,polyglot-c-py,polyglot-c-py__NxFvxnX,,0,,53.7,0,agent_integration_failure
swe-agent-qwen3.5-35b-a3b-gguf-local,swe-agent,Qwen3.5-35B-A3B,local,pypi-server,pypi-server__zbzcgdR,0.0,0,,53.7,0,agent_integration_failure
swe-agent-qwen3.5-35b-a3b-gguf-local,swe-agent,Qwen3.5-35B-A3B,local,jq-data-processing,jq-data-processing__m3cZkGU,0.0,0,,53.7,0,agent_integration_failure
swe-agent-qwen3.5-35b-a3b-gguf-local,swe-agent,Qwen3.5-35B-A3B,local,code-from-image,code-from-image__oNfBLfJ,0.0,0,,53.7,0,agent_integration_failure
swe-agent-qwen3.5-35b-a3b-gguf-local,swe-agent,Qwen3.5-35B-A3B,local,cobol-modernization,cobol-modernization__8LnLuqi,0.0,0,,53.7,0,agent_integration_failure
swe-agent-qwen3.5-35b-a3b-gguf-local,swe-agent,Qwen3.5-35B-A3B,local,kv-store-grpc,kv-store-grpc__tb2jhHT,0.0,0,,53.7,0,agent_integration_failure
swe-agent-qwen3.5-35b-a3b-gguf-local,swe-agent,Qwen3.5-35B-A3B,local,image-tile-identification,image-tile-identification__cG2iLBV,0.0,0,,53.7,0,agent_integration_failure
swe-agent-qwen3.5-35b-a3b-gguf-local,swe-agent,Qwen3.5-35B-A3B,local,amuse-install,amuse-install__JNBN5y2,0.0,0,,53.7,0,agent_integration_failure
swe-agent-qwen3.5-35b-a3b-gguf-local,swe-agent,Qwen3.5-35B-A3B,local,schemelike-metacircular-eval,schemelike-metacircular-eval__UQPDSvm,0.0,0,,53.7,0,agent_integration_failure
swe-agent-qwen3.5-35b-a3b-gguf-local,swe-agent,Qwen3.5-35B-A3B,local,winning-avg-corewars,winning-avg-corewars__RVpmovd,0.0,0,,53.7,0,agent_integration_failure
swe-agent-qwen3.5-35b-a3b-gguf-local,swe-agent,Qwen3.5-35B-A3B,local,build-merkle-tree-cli-sha512,build-merkle-tree-cli-sha512__DjtASbD,0.0,0,,53.7,0,agent_integration_failure
swe-agent-qwen3.5-35b-a3b-gguf-local,swe-agent,Qwen3.5-35B-A3B,local,raft-log-repair-concurrent-access,raft-log-repair-concurrent-acces__ZgTGr44,0.0,0,,53.7,0,agent_integration_failure
swe-agent-qwen3.5-35b-a3b-gguf-local,swe-agent,Qwen3.5-35B-A3B,local,smiles-data-lab,smiles-data-lab__Ke2kWQ4,,0,,53.7,0,agent_integration_failure
swe-agent-qwen3.5-35b-a3b-gguf-local,swe-agent,Qwen3.5-35B-A3B,local,california-housing-api,california-housing-api__6D4JJ2G,0.0,0,,53.7,0,agent_integration_failure
swe-agent-qwen3.5-35b-a3b-gguf-local,swe-agent,Qwen3.5-35B-A3B,local,convolutional-layers,convolutional-layers__5AzPeZv,0.0,0,,53.7,0,agent_integration_failure
swe-agent-qwen3.5-35b-a3b-gguf-local,swe-agent,Qwen3.5-35B-A3B,local,cosign-keyless-signing,cosign-keyless-signing__VphB3aH,0.0,0,,53.7,0,agent_integration_failure
