run_name,agent,model,task,trial,backend,source,reward,graded,passed,n_calls,sum_completion_tokens,sum_prompt_tokens,max_prompt_tokens,weighted_gen_tok_s,n_truncated
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,polyglot-c-py,polyglot-c-py__JgbAHWw,local,terminal-bench,,0,0,0,0,0,0,,0
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,git-leak-recovery,git-leak-recovery__6EdnFYv,local,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,headless-terminal,headless-terminal__4852rzC,local,terminal-bench,0.0,1,0,7,2627,58850,9596,46.13,0
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,build-pov-ray,build-pov-ray__tPnUx8H,local,terminal-bench,0.0,1,0,100,13053,2099322,32343,34.32,0
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,code-from-image,code-from-image__VkEJ6bf,local,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,cobol-modernization,cobol-modernization__ZcGRNc3,local,terminal-bench,0.0,1,0,7,810,66820,10706,45.78,0
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,winning-avg-corewars,winning-avg-corewars__g9kvJXd,local,terminal-bench,0.0,1,0,30,7486,394502,18002,33.23,0
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,git-leak-recovery,git-leak-recovery__LY9yjfP,local,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,build-pov-ray,build-pov-ray__DvF5UpA,local,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,fix-git,fix-git__bh5fH7R,local,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,schemelike-metacircular-eval,schemelike-metacircular-eval__bzYijMb,local,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,prove-plus-comm,prove-plus-comm__3oLgzV6,local,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,kv-store-grpc,kv-store-grpc__KKMUgRM,local,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,build-pmars,build-pmars__CSDCro7,local,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,polyglot-c-py,polyglot-c-py__EKfHJFH,local,terminal-bench,,0,0,0,0,0,0,,0
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,winning-avg-corewars,winning-avg-corewars__HMaptHD,local,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,pypi-server,pypi-server__PvjKEdA,local,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,headless-terminal,headless-terminal__dRQrcEB,local,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,code-from-image,code-from-image__viNcrbH,local,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,cobol-modernization,cobol-modernization__mtduU7e,local,terminal-bench,0.0,1,0,0,0,0,0,,0
terminus-2-phi4-14b,terminus-2,phi-4,prove-plus-comm,prove-plus-comm__yjVquTM,local,terminal-bench,,0,0,22,12042,156140,15613,17.6,0
terminus-2-phi4-14b,terminus-2,phi-4,code-from-image,code-from-image__v82GsYv,local,terminal-bench,,0,0,27,7199,290666,16128,16.94,0
terminus-2-phi4-14b,terminus-2,phi-4,winning-avg-corewars,winning-avg-corewars__tMvrhKY,local,terminal-bench,,0,0,18,10912,136707,15991,19.58,0
terminus-2-phi4-14b,terminus-2,phi-4,build-pov-ray,build-pov-ray__THxkdNt,local,terminal-bench,,0,0,21,6946,170537,15928,16.34,0
terminus-2-phi4-14b,terminus-2,phi-4,polyglot-c-py,polyglot-c-py__RsUqRoR,local,terminal-bench,0.0,1,0,2,783,2660,1852,20.04,0
terminus-2-phi4-14b,terminus-2,phi-4,fix-git,fix-git__yQqiggR,local,terminal-bench,0.0,1,0,13,3308,65791,9072,19.06,0
terminus-2-phi4-14b,terminus-2,phi-4,pypi-server,pypi-server__cS2eoA8,local,terminal-bench,0.0,1,0,4,1883,10069,3544,19.65,0
terminus-2-phi4-14b,terminus-2,phi-4,kv-store-grpc,kv-store-grpc__7SU2jaR,local,terminal-bench,0.0,1,0,2,989,3651,2697,19.99,0
terminus-2-phi4-14b,terminus-2,phi-4,headless-terminal,headless-terminal__ZinHjQw,local,terminal-bench,,0,0,21,7871,174581,15787,15.51,0
terminus-2-phi4-14b,terminus-2,phi-4,build-pmars,build-pmars__3H4nVhD,local,terminal-bench,,0,0,10,4566,90164,15315,16.05,0
terminus-2-phi4-14b,terminus-2,phi-4,schemelike-metacircular-eval,schemelike-metacircular-eval__osesn5n,local,terminal-bench,,0,0,14,9422,104890,15582,17.56,0
terminus-2-phi4-14b,terminus-2,phi-4,cobol-modernization,cobol-modernization__RG9arpE,local,terminal-bench,0.0,1,0,12,12991,97446,15012,15.0,0
terminus-2-phi4-14b,terminus-2,phi-4,git-leak-recovery,git-leak-recovery__PTxkPyD,local,terminal-bench,1.0,1,1,9,5166,37592,7372,17.4,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,legal-summary-extraction,legal-summary-extraction__8hBMAWp,local,openthoughts-tblite,0.0,1,0,20,12251,57790,6377,64.19,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,jsonl-aggregator,jsonl-aggregator__C7L3nBc,local,openthoughts-tblite,0.0,1,0,16,7480,82926,8459,64.12,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,jq-data-processing,jq-data-processing__HXUGGtQ,local,openthoughts-tblite,0.0,1,0,10,11416,36603,5637,64.0,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,cobol-modernization,cobol-modernization__J46vhec,local,terminal-bench,0.0,1,0,22,23576,175763,14284,63.38,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,kv-store-grpc,kv-store-grpc__sWfTURN,local,terminal-bench,1.0,1,1,2,1893,4685,3683,64.49,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,image-tile-identification,image-tile-identification__K3U6iqs,local,openthoughts-tblite,0.0,1,0,18,15471,141459,10887,63.55,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,amuse-install,amuse-install__8zUUS5d,local,openthoughts-tblite,1.0,1,1,8,10985,48230,10905,63.92,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,schemelike-metacircular-eval,schemelike-metacircular-eval__sCsepXa,local,terminal-bench,0.0,1,0,23,27168,197711,13792,63.21,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,raft-log-repair-concurrent-access,raft-log-repair-concurrent-acces__GPLZ458,local,openthoughts-tblite,0.0,1,0,3,17094,35146,17688,63.21,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,smiles-data-lab,smiles-data-lab__uxhwAKT,local,openthoughts-tblite,,0,0,0,0,0,0,,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,california-housing-api,california-housing-api__vdbKvQC,local,openthoughts-tblite,0.0,1,0,20,22629,275925,25646,63.16,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,convolutional-layers,convolutional-layers__x2pJR2W,local,openthoughts-tblite,0.0,1,0,2,5495,14123,10933,63.92,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,cosign-keyless-signing,cosign-keyless-signing__wk465Kd,local,openthoughts-tblite,0.0,1,0,20,27003,327846,31952,62.42,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,protein-sequence,protein-sequence__MXYpY2Y,local,openthoughts-tblite,,0,0,0,0,0,0,,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,ekf-localization,ekf-localization__hRo5s5a,local,openthoughts-tblite,0.0,1,0,8,21930,94325,19488,63.17,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,cryptographic-protocol-verifier,cryptographic-protocol-verifier__Vt8qzqz,local,openthoughts-tblite,0.0,1,0,8,8678,62232,13157,63.76,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,systemd-log-monitoring,systemd-log-monitoring__rP6hRzW,local,openthoughts-tblite,0.0,1,0,7,9601,39272,7465,63.86,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,vimscript-vim-quine,vimscript-vim-quine__YZyLLFu,local,openthoughts-tblite,0.0,1,0,3,16226,7843,4705,63.53,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,mlflow-register,mlflow-register__PU72vyN,local,openthoughts-tblite,1.0,1,1,2,3764,5690,4924,64.35,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,git-leak-recovery,git-leak-recovery__wkSJEcs,local,terminal-bench,1.0,1,1,6,6632,12035,3448,64.3,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,playing-card-recognition,playing-card-recognition__gfsVaRa,local,openthoughts-tblite,0.0,1,0,5,9804,13669,4789,64.14,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,headless-terminal,headless-terminal__RAGB3Bm,local,terminal-bench,0.0,1,0,2,2752,6415,5540,64.07,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,pandas-etl,pandas-etl__NvtnrUV,local,openthoughts-tblite,1.0,1,1,4,5622,9380,3657,64.45,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,fix-git,fix-git__HwHPnNw,local,terminal-bench,1.0,1,1,14,13863,46247,5493,64.23,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,broken-python,broken-python__oSBBQTW,local,openthoughts-tblite,1.0,1,1,12,13767,84225,12035,63.58,0
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,pypi-server,pypi-server__Mn7rSzw,hosted,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,kv-store-grpc,kv-store-grpc__i6vt2By,hosted,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,polyglot-c-py,polyglot-c-py__FdR83zm,hosted,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,code-from-image,code-from-image__u3viZ8z,hosted,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,cobol-modernization,cobol-modernization__QAu7j74,hosted,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,winning-avg-corewars,winning-avg-corewars__cHQtEyb,hosted,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,fix-git,fix-git__PHVgtxV,hosted,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,git-leak-recovery,git-leak-recovery__tLGgQLf,hosted,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,prove-plus-comm,prove-plus-comm__WWT7iAV,hosted,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,headless-terminal,headless-terminal__SMQQQ6N,hosted,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,schemelike-metacircular-eval,schemelike-metacircular-eval__zKrvSSx,hosted,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,build-pov-ray,build-pov-ray__dCkQ383,hosted,terminal-bench,0.0,1,0,0,0,0,0,,0
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,build-pmars,build-pmars__TiDLUNv,hosted,terminal-bench,0.0,1,0,0,0,0,0,,0
terminus-2-glm47-together,terminus-2,GLM-4.7,cobol-modernization,cobol-modernization__9ciYZQT,hosted,terminal-bench,1.0,1,1,30,18373,401507,23964,,0
terminus-2-glm47-together,terminus-2,GLM-4.7,fix-git,fix-git__eoLUYYp,hosted,terminal-bench,1.0,1,1,8,2305,16349,3173,,0
terminus-2-glm47-together,terminus-2,GLM-4.7,build-pov-ray,build-pov-ray__HgRwM7M,hosted,terminal-bench,1.0,1,1,28,8203,445156,29761,,0
terminus-2-glm47-together,terminus-2,GLM-4.7,prove-plus-comm,prove-plus-comm__jpdJP6i,hosted,terminal-bench,1.0,1,1,6,2227,11231,2783,,0
terminus-2-glm47-together,terminus-2,GLM-4.7,kv-store-grpc,kv-store-grpc__MSSpnpR,hosted,terminal-bench,0.0,1,0,11,3075,34349,4755,,0
terminus-2-glm47-together,terminus-2,GLM-4.7,pypi-server,pypi-server__Kh8AVj9,hosted,terminal-bench,1.0,1,1,25,7151,263978,18725,,0
terminus-2-glm47-together,terminus-2,GLM-4.7,schemelike-metacircular-eval,schemelike-metacircular-eval__3eekSj2,hosted,terminal-bench,0.0,1,0,147,81698,11311291,129653,,0
terminus-2-glm47-together,terminus-2,GLM-4.7,git-leak-recovery,git-leak-recovery__YPWmF4X,hosted,terminal-bench,1.0,1,1,6,2055,13096,3277,,0
terminus-2-glm47-together,terminus-2,GLM-4.7,code-from-image,code-from-image__4PGsvM3,hosted,terminal-bench,1.0,1,1,14,7710,93384,13245,,0
terminus-2-glm47-together,terminus-2,GLM-4.7,build-pmars,build-pmars__FJhFPxE,hosted,terminal-bench,1.0,1,1,20,4514,166142,15822,,0
terminus-2-glm47-together,terminus-2,GLM-4.7,headless-terminal,headless-terminal__gCrUaG5,hosted,terminal-bench,1.0,1,1,8,3921,27416,5889,,0
terminus-2-glm47-together,terminus-2,GLM-4.7,polyglot-c-py,polyglot-c-py__H4uLXTr,hosted,terminal-bench,0.0,1,0,40,32309,769993,35706,,0
terminus-2-glm47-together,terminus-2,GLM-4.7,winning-avg-corewars,winning-avg-corewars__RTATTJ8,hosted,terminal-bench,1.0,1,1,64,24986,1203776,33272,,0
openhands-glm47-together-v2,openhands,GLM-4.7,build-pmars,build-pmars__LyoEdmY,hosted,terminal-bench,0.0,1,0,80,8703,889964,15214,,0
openhands-glm47-together-v2,openhands,GLM-4.7,schemelike-metacircular-eval,schemelike-metacircular-eval__Mp7M5zc,hosted,terminal-bench,0.0,1,0,12,4699,193835,24389,,0
openhands-glm47-together-v2,openhands,GLM-4.7,build-pov-ray,build-pov-ray__g2tMeWE,hosted,terminal-bench,0.0,1,0,254,39367,10809648,90343,,0
openhands-glm47-together-v2,openhands,GLM-4.7,kv-store-grpc,kv-store-grpc__BnmwXFu,hosted,terminal-bench,0.0,1,0,132,15774,1919018,20998,,0
openhands-glm47-together-v2,openhands,GLM-4.7,cobol-modernization,cobol-modernization__KeNEzq5,hosted,terminal-bench,1.0,1,1,24,55393,281990,15408,,3
openhands-glm47-together-v2,openhands,GLM-4.7,fix-git,fix-git__pkydiSK,hosted,terminal-bench,1.0,1,1,18,2923,193301,13685,,0
openhands-glm47-together-v2,openhands,GLM-4.7,prove-plus-comm,prove-plus-comm__wjskWig,hosted,terminal-bench,1.0,1,1,10,1732,85403,9495,,0
openhands-glm47-together-v2,openhands,GLM-4.7,git-leak-recovery,git-leak-recovery__jKxmK2M,hosted,terminal-bench,1.0,1,1,22,2788,206314,10883,,0
openhands-glm47-together-v2,openhands,GLM-4.7,polyglot-c-py,polyglot-c-py__bWNKkuq,hosted,terminal-bench,0.0,1,0,3,49152,23316,7811,,3
openhands-glm47-together-v2,openhands,GLM-4.7,code-from-image,code-from-image__zRtpJua,hosted,terminal-bench,0.0,1,0,132,80169,3437315,46335,,1
openhands-glm47-together-v2,openhands,GLM-4.7,headless-terminal,headless-terminal__oTdvkbe,hosted,terminal-bench,0.0,1,0,16,3313,150078,11615,,0
openhands-glm47-together-v2,openhands,GLM-4.7,pypi-server,pypi-server__ZQroMrP,hosted,terminal-bench,0.0,1,0,70,15767,1266363,32375,,0
openhands-glm47-together-v2,openhands,GLM-4.7,winning-avg-corewars,winning-avg-corewars__8Ye7CFN,hosted,terminal-bench,0.0,1,0,41,10215,786087,32755,,0
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,headless-terminal,headless-terminal__rp8omz2,local,terminal-bench,0.0,1,0,27,5171,320109,17100,37.88,0
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,polyglot-c-py,polyglot-c-py__raanEcp,local,terminal-bench,0.0,1,0,23,5580,249923,14377,54.76,0
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,winning-avg-corewars,winning-avg-corewars__Tm7qBJQ,local,terminal-bench,0.0,1,0,37,8667,632908,24199,46.57,0
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,build-pmars,build-pmars__YmB3WPw,local,terminal-bench,1.0,1,1,32,4723,556318,25073,41.78,0
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,fix-git,fix-git__xv5zkCm,local,terminal-bench,1.0,1,1,30,2864,506061,22311,45.44,0
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,schemelike-metacircular-eval,schemelike-metacircular-eval__yoYNEnc,local,terminal-bench,0.0,1,0,15,12943,296828,31714,44.68,0
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,pypi-server,pypi-server__x6CWriz,local,terminal-bench,0.0,1,0,40,5657,465722,16933,52.13,0
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,build-pov-ray,build-pov-ray__9FoR7tz,local,terminal-bench,0.0,1,0,41,4997,753921,28436,38.27,0
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,kv-store-grpc,kv-store-grpc__j63ThiK,local,terminal-bench,0.0,1,0,39,9759,637298,28403,43.38,0
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,git-leak-recovery,git-leak-recovery__3RiETkJ,local,terminal-bench,1.0,1,1,157,17966,3099966,32646,42.8,0
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,prove-plus-comm,prove-plus-comm__6xm2uqS,local,terminal-bench,0.0,1,0,38,4998,421239,15916,53.65,0
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,code-from-image,code-from-image__W2xZjh6,local,terminal-bench,0.0,1,0,15,3366,135274,11533,57.49,0
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,cobol-modernization,cobol-modernization__hNxayUi,local,terminal-bench,0.0,1,0,39,12915,750517,32596,42.78,0
test-mini-swe,mini-swe-agent,Qwen3-Coder-30B-A3B-Instruct,fix-git,fix-git__sE9xVEw,local,terminal-bench,0.0,1,0,0,0,0,0,,0
terminus-2-m2.1-fireworks,terminus-2,minimax-m2p1,schemelike-metacircular-eval,schemelike-metacircular-eval__aMybraD,hosted,terminal-bench,0.0,1,0,128,113736,9543712,147357,,0
terminus-2-m2.1-fireworks,terminus-2,minimax-m2p1,git-leak-recovery,git-leak-recovery__GpTGrq7,hosted,terminal-bench,1.0,1,1,6,1992,10817,2748,,0
terminus-2-m2.1-fireworks,terminus-2,minimax-m2p1,kv-store-grpc,kv-store-grpc__ivzyd9J,hosted,terminal-bench,1.0,1,1,13,3684,52784,6518,,0
terminus-2-m2.1-fireworks,terminus-2,minimax-m2p1,build-pmars,build-pmars__aeakpvk,hosted,terminal-bench,1.0,1,1,28,5040,228651,16041,,0
terminus-2-m2.1-fireworks,terminus-2,minimax-m2p1,polyglot-c-py,polyglot-c-py__h4MWx3p,hosted,terminal-bench,0.0,1,0,6,5781,13601,3786,,0
terminus-2-m2.1-fireworks,terminus-2,minimax-m2p1,pypi-server,pypi-server__zcigpY8,hosted,terminal-bench,1.0,1,1,12,5459,72229,9958,,0
terminus-2-m2.1-fireworks,terminus-2,minimax-m2p1,winning-avg-corewars,winning-avg-corewars__wXspKrb,hosted,terminal-bench,1.0,1,1,29,13142,331778,19462,,0
